ID,Name,Age,Gender,ZipCode,Education,Nationality,Salary
89796,Antonio Miller,43,Male,17811,High School,Azerbaijan,88995
8141,Michelle Powell,49,Female,18595,High School,Norway,35703
26700,Jane Miller,37,Female,16169,Bachelor,Sudan,49370
42803,Alexa Murphy,28,Female,16047,High School,Panama,110576
42665,Rebecca Bruce,54,Female,16608,High School,United States Minor Outlying Islands,61813
45715,William Pena,37,Male,16694,High School,Holy See (Vatican City State),104075
75763,Patricia Baker,34,Female,15659,Master,South Africa,45989
18807,Ryan Williams,46,Male,18276,Bachelor,Antigua and Barbuda,87845
55734,Sheila Pacheco,43,Female,16530,PhD,Vietnam,100125
83536,Anne Ho,58,Female,19238,Master,Norfolk Island,91050
58202,Kenneth Eaton,42,Male,17087,Master,Trinidad and Tobago,74139
78538,Peter York,51,Male,16757,High School,Luxembourg,84086
46750,Seth Hanson,21,Male,18400,Master,Belgium,43408
49522,Patrick Porter,48,Male,18343,Master,Timor-Leste,77976
50880,Edward Fry,30,Male,19966,High School,Cambodia,35545
63929,Rhonda Little,54,Female,16921,PhD,China,106095
76524,Carrie Martin,26,Female,18721,High School,Saint Kitts and Nevis,66504
76990,Cassandra Mcintosh,46,Female,18520,Master,Syrian Arab Republic,48706
48626,Jane Hunt,44,Female,16676,Bachelor,Marshall Islands,42430
98952,Teresa Evans,24,Female,16733,PhD,Libyan Arab Jamahiriya,99810
30445,Duane Smith,22,Male,16172,High School,Luxembourg,30139
25317,Joan Jenkins,52,Female,19620,Bachelor,United States of America,66390
54422,Megan Turner,46,Female,19255,Bachelor,Marshall Islands,99930
28768,Christopher Owens,41,Male,18365,High School,Rwanda,79150
28291,Michael Spears,34,Male,16614,High School,Cape Verde,46845
8808,Zachary Mcdaniel,37,Male,19375,Bachelor,Andorra,100453
46301,Ashley Hansen,43,Female,18234,High School,Cape Verde,88739
86087,Jessica Walker,47,Female,19683,Bachelor,Burkina Faso,47061
75851,Elizabeth Gibbs,43,Female,15560,High School,Marshall Islands,117781
34928,John Johnson,33,Male,18291,Bachelor,Mauritania,64198
83782,John Moran,56,Male,19248,Bachelor,Cape Verde,119871
78875,Carrie Carpenter,30,Female,16855,PhD,Marshall Islands,113214
32250,Dustin Herman,50,Male,19209,Master,Saint Kitts and Nevis,69849
25757,Tina James,20,Female,19140,Master,Niger,99740
59901,Stacy Sanchez,60,Female,19791,High School,Norfolk Island,116504
67754,Tammy Paul,47,Female,18260,High School,Cape Verde,34039
14768,Ashley Meyer,59,Female,17055,High School,Senegal,112465
89059,Penny Ramos,34,Female,17825,Master,Reunion,95585
12895,Sarah Thomas,42,Female,17337,Bachelor,British Indian Ocean Territory (Chagos Archipelago),63672
97747,Margaret Anderson,38,Female,16537,Master,British Indian Ocean Territory (Chagos Archipelago),107651
12089,Ariel Monroe,54,Female,17472,High School,Faroe Islands,119256
87907,Cynthia Moore,44,Female,18347,Bachelor,Timor-Leste,47842
29117,Kimberly Dominguez,31,Female,18624,PhD,Algeria,53029
21114,Rebecca Cobb,43,Female,19341,Bachelor,Ghana,105923
12183,Jordan Reid,30,Male,19642,Bachelor,Israel,95217
66899,Randy Turner,54,Male,18165,Bachelor,Faroe Islands,31761
58693,Amber Franco,21,Female,16490,High School,New Zealand,55659
3378,Stephanie Wheeler,37,Female,18588,High School,South Africa,34851
26448,Alicia Dean,33,Female,18291,High School,Gabon,109329
58789,Micheal Matthews MD,23,Male,16730,High School,Saint Martin,59165
