ID,Name,Age,Gender,ZipCode,Education,Nationality,Salary
4861,Donald Walker,26,Male,19967,High School,Benin,107397
2826,Anna Hall,58,Female,15717,Master,Monaco,56062
3211,Leah Pacheco,20,Female,16807,High School,Qatar,85392
6677,Cindy Gallagher,26,Female,16259,PhD,Hong Kong,42676
9367,Lindsey Roman,49,Female,19892,High School,British Virgin Islands,79615
4559,Ronald Montgomery,43,Male,17075,Master,Romania,39116
7042,Raymond Galloway,34,Male,16327,Master,Hong Kong,66434
1900,Holly Wood,33,Female,17687,Bachelor,Reunion,119593
7673,Christopher Daniel,30,Male,19286,High School,Hong Kong,65382
2867,Ryan Parsons,34,Male,15762,High School,Sri Lanka,71347
